protocol,ip_address,port,country
http,107.151.152.218,80,usa
http,24.205.163.136,80,usa
http,149.91.81.8,8080,usa
http,207.62.234.53,8118,usa
http,143.0.142.10,80,usa
http,180.183.79.104,3128,thailand
http,213.240.175.233,8080,germany
http,58.11.245.247,8888,thailand
http,119.29.170.201,80,china
http,198.2.202.51,8090,usa
http,121.22.252.241,80,china
http,92.222.108.217,3128,france
http,190.54.112.159,3128,chile
http,92.222.108.99,3128,france
http,54.187.57.218,8083,usa
http,123.206.58.24,80,china
http,31.148.219.180,80,netherlands
http,188.34.251.222,8080,iran
http,115.113.43.215,80,india
http,198.2.202.35,80,usa
http,195.40.6.43,8080,uk
http,116.228.143.200,80,china
http,120.24.38.29,8080,china
http,54.84.4.72,8083,usa
http,54.186.98.71,8083,usa
http,117.240.187.35,3128,india
http,54.193.52.83,8083,usa
http,92.222.109.74,3128,france
http,200.146.85.194,8089,brazil
http,91.121.222.130,2914,france
http,64.30.135.59,56419,usa
http,84.23.107.195,8080,saudi arabia
http,195.40.6.43,3128,uk
http,190.0.131.108,80,uruguay
http,54.175.174.20,8083,usa
http,58.248.137.228,80,china
http,146.52.198.230,8080,germany
http,61.80.74.130,8080,korea
http,92.222.109.33,3128,france
http,52.53.189.144,8083,usa
